                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.26888,                0.38746,                0.15897,                0.83336,                0.90016,                0.80614,                0.88741,                 0.6253,                0.88164,                0.77774,                0.85449,                0.57096,                 1.2815,                 3.0792,                0.68798,                 1.8796,               0.001387,               0.001387,               0.001387
                     89,                0.26623,                0.38322,                 0.1573,                0.83176,                0.90032,                0.80471,                0.88838,                0.62654,                0.88249,                0.77725,                0.85539,                0.57146,                 1.2797,                 3.0857,                0.68813,                 1.8803,               0.001288,               0.001288,               0.001288
                     90,                0.26543,                0.38043,                 0.1564,                0.83199,                0.90023,                0.80268,                0.88889,                0.62679,                0.88402,                 0.7731,                0.85583,                0.57229,                 1.2774,                 3.0944,                0.69179,                 1.8793,               0.001189,               0.001189,               0.001189
                     91,                0.22799,                 0.3603,                0.13764,                0.80191,                0.90442,                0.80355,                0.89085,                0.62843,                0.88426,                0.77161,                0.85581,                0.57253,                 1.2703,                 3.1179,                0.68746,                 1.8745,                0.00109,                0.00109,                0.00109
                     92,                0.22368,                0.35198,                0.13545,                0.80328,                0.90181,                0.80732,                0.89029,                0.62951,                0.87655,                0.77963,                0.85521,                0.57242,                 1.2673,                 3.1414,                0.67898,                 1.8783,               0.000991,               0.000991,               0.000991
                     93,                0.21969,                0.34894,                0.13286,                0.80116,                0.90615,                0.80549,                0.88986,                0.63017,                0.87873,                 0.7792,                0.85447,                0.57217,                 1.2622,                 3.1517,                0.67692,                 1.8804,               0.000892,               0.000892,               0.000892
                     94,                0.21557,                0.34759,                0.13024,                0.79985,                0.90573,                0.80944,                0.88924,                0.63124,                 0.8788,                0.78112,                 0.8543,                0.57224,                 1.2608,                 3.1711,                0.67567,                 1.8861,               0.000793,               0.000793,               0.000793
                     95,                0.21411,                0.34571,                0.12996,                0.79954,                0.90667,                0.80938,                 0.8901,                0.63264,                0.87801,                 0.7802,                0.85337,                  0.573,                  1.259,                 3.1898,                0.67234,                 1.8905,               0.000694,               0.000694,               0.000694
                     96,                0.21052,                0.34157,                0.12638,                 0.7984,                0.90804,                0.80894,                0.89053,                0.63397,                 0.8806,                0.78019,                0.85451,                0.57387,                 1.2594,                 3.2021,                0.67091,                 1.8947,               0.000595,               0.000595,               0.000595
                     97,                0.20863,                0.34059,                0.12425,                0.79652,                0.90885,                0.80788,                0.89061,                0.63507,                0.88182,                0.77879,                0.85493,                0.57407,                 1.2577,                  3.215,                0.67211,                 1.8969,               0.000496,               0.000496,               0.000496
                     98,                0.20633,                0.33869,                0.12318,                0.79702,                0.90537,                0.80949,                0.89075,                0.63607,                0.88269,                0.77955,                0.85571,                0.57486,                 1.2568,                 3.2296,                 0.6684,                 1.9004,               0.000397,               0.000397,               0.000397
                     99,                0.20333,                0.33663,                0.12039,                0.79644,                0.90934,                0.80644,                0.89085,                 0.6366,                 0.8841,                0.77971,                0.85662,                0.57542,                 1.2562,                 3.2447,                0.66589,                 1.9047,               0.000298,               0.000298,               0.000298
                    100,                0.20191,                0.33419,                 0.1192,                0.79512,                0.90704,                0.80647,                0.89036,                0.63674,                 0.8832,                0.78003,                0.85698,                0.57515,                 1.2558,                  3.257,                 0.6679,                 1.9092,               0.000199,               0.000199,               0.000199
