                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.49624,                0.53312,                0.29057,                0.82855,                0.84961,                0.76234,                0.82464,                0.55183,                0.83292,                0.73403,                0.80237,                0.46007,                 1.1428,                 1.5577,                0.52329,                 1.1336,               0.002278,               0.002278,               0.002278
                     80,                0.49581,                 0.5301,                 0.2907,                0.82918,                0.84689,                0.76571,                0.82539,                0.55204,                0.83102,                0.73192,                0.80051,                0.45997,                 1.1434,                 1.5595,                0.52365,                 1.1334,               0.002179,               0.002179,               0.002179
                     81,                0.49186,                0.52567,                0.28766,                 0.8283,                0.84793,                0.76472,                0.82493,                0.55229,                0.83327,                0.73247,                 0.8015,                0.45996,                 1.1427,                 1.5597,                0.52314,                 1.1329,                0.00208,                0.00208,                0.00208
                     82,                0.49136,                0.52516,                0.28901,                 0.8264,                0.84824,                0.76494,                0.82547,                0.55278,                0.83206,                0.73065,                0.80188,                0.45985,                 1.1432,                 1.5616,                0.52348,                  1.134,               0.001981,               0.001981,               0.001981
                     83,                0.48921,                0.52446,                0.28548,                0.82781,                0.84832,                0.76559,                0.82532,                0.55298,                0.83261,                0.73169,                0.80227,                0.46016,                 1.1437,                 1.5643,                0.52389,                 1.1345,               0.001882,               0.001882,               0.001882
                     84,                0.48365,                0.52239,                0.28235,                0.82375,                0.85009,                0.76701,                0.82587,                0.55375,                0.83365,                0.73195,                0.80269,                0.45907,                 1.1442,                 1.5683,                0.52475,                 1.1332,               0.001783,               0.001783,               0.001783
                     85,                0.48216,                0.51917,                0.28152,                0.82384,                0.85058,                0.76753,                0.82633,                0.55351,                0.83702,                0.72909,                 0.8029,                0.46016,                 1.1463,                 1.5732,                0.52482,                 1.1348,               0.001684,               0.001684,               0.001684
                     86,                0.47916,                0.51698,                0.27833,                0.82512,                 0.8487,                0.76805,                 0.8259,                0.55355,                0.83496,                0.73039,                0.80266,                0.46055,                 1.1462,                 1.5788,                0.52431,                 1.1366,               0.001585,               0.001585,               0.001585
                     87,                0.47373,                  0.513,                0.27525,                0.82324,                 0.8468,                0.76831,                0.82524,                0.55353,                0.83554,                0.73104,                0.80221,                 0.4609,                 1.1466,                 1.5822,                0.52574,                 1.1378,               0.001486,               0.001486,               0.001486
                     88,                0.47228,                0.51153,                0.27444,                0.82262,                 0.8481,                0.76572,                0.82499,                0.55371,                0.84093,                0.72503,                0.80239,                0.46072,                 1.1464,                 1.5861,                0.52641,                  1.138,               0.001387,               0.001387,               0.001387
                     89,                0.47039,                0.51193,                0.27142,                0.82009,                0.84515,                0.76554,                0.82471,                0.55462,                0.84054,                0.72208,                0.80191,                0.46099,                 1.1455,                 1.5898,                0.52672,                 1.1375,               0.001288,               0.001288,               0.001288
                     90,                0.46588,                0.50432,                0.26712,                0.81859,                0.84524,                0.76649,                0.82487,                0.55484,                0.84208,                0.72286,                 0.8031,                0.46116,                 1.1463,                 1.5912,                0.52803,                 1.1377,               0.001189,               0.001189,               0.001189
                     91,                0.47234,                0.52902,                0.27779,                0.81507,                0.84856,                0.76597,                0.82562,                0.55528,                0.84351,                0.72102,                0.80126,                0.46084,                 1.1472,                 1.5906,                0.52822,                 1.1381,                0.00109,                0.00109,                0.00109
                     92,                0.46667,                0.52353,                0.27476,                0.81155,                0.84933,                0.76571,                0.82553,                0.55451,                0.84515,                0.72017,                0.80114,                0.46129,                 1.1484,                 1.5885,                0.52948,                 1.1389,               0.000991,               0.000991,               0.000991
                     93,                0.46205,                0.51815,                0.27048,                0.81044,                0.84962,                0.76597,                0.82633,                0.55463,                0.84453,                0.72104,                 0.8014,                0.46145,                 1.1487,                 1.5888,                0.53025,                 1.1402,               0.000892,               0.000892,               0.000892
                     94,                0.45781,                0.51557,                0.26585,                 0.8097,                0.85116,                0.76442,                0.82665,                 0.5553,                0.84667,                0.72078,                0.80212,                0.46265,                 1.1487,                 1.5891,                 0.5308,                 1.1408,               0.000793,               0.000793,               0.000793
                     95,                0.45243,                0.50878,                0.26249,                 0.8061,                0.85082,                0.76588,                0.82689,                 0.5557,                0.84179,                0.72312,                0.80182,                0.46311,                 1.1486,                 1.5923,                0.53218,                 1.1406,               0.000694,               0.000694,               0.000694
                     96,                0.44805,                0.50846,                 0.2588,                0.80623,                0.84977,                0.76254,                0.82606,                0.55592,                0.84869,                0.72104,                0.80248,                 0.4644,                  1.148,                 1.5957,                 0.5323,                 1.1418,               0.000595,               0.000595,               0.000595
                     97,                0.44223,                0.50191,                0.25421,                0.80323,                0.84736,                 0.7626,                0.82516,                0.55562,                0.84879,                 0.7187,                0.80207,                0.46479,                 1.1494,                 1.5995,                0.53265,                 1.1435,               0.000496,               0.000496,               0.000496
                     98,                0.43752,                0.50317,                0.24976,                0.80192,                0.84657,                0.76208,                0.82576,                0.55628,                0.83985,                0.72416,                0.80348,                0.46537,                 1.1509,                 1.6025,                0.53527,                 1.1453,               0.000397,               0.000397,               0.000397
                     99,                0.43328,                0.49957,                0.24495,                0.80019,                0.85069,                0.75896,                0.82619,                0.55617,                0.83729,                0.72623,                0.80305,                0.46624,                  1.152,                 1.6068,                0.53719,                 1.1464,               0.000298,               0.000298,               0.000298
                    100,                0.42876,                0.49442,                0.23871,                0.79925,                0.86078,                0.75091,                0.82562,                0.55603,                0.83761,                 0.7275,                0.80286,                0.46649,                 1.1533,                  1.612,                0.53913,                 1.1481,               0.000199,               0.000199,               0.000199
