                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                  0.501,                0.69043,                0.32881,                0.88006,                0.93196,                0.84735,                0.89577,                0.63773,                0.93519,                0.81195,                 0.8624,                0.57204,                 1.1173,                 2.3944,                0.51445,                 1.3104,               0.005941,               0.005941,               0.005941
                     43,                0.49699,                  0.689,                0.32606,                0.87814,                0.93244,                0.83971,                0.88882,                  0.636,                0.94704,                0.80948,                0.85203,                  0.567,                 1.1087,                 2.4631,                0.52231,                 1.3278,               0.005842,               0.005842,               0.005842
                     44,                0.49946,                0.68927,                0.32638,                0.87958,                0.93141,                0.83917,                0.89189,                0.63637,                0.92536,                0.80628,                0.84959,                0.56142,                 1.1184,                  2.461,                0.52531,                 1.3192,               0.005743,               0.005743,               0.005743
                     45,                0.49594,                0.68247,                0.32439,                0.87884,                0.91995,                 0.8577,                0.88927,                0.63187,                0.89815,                0.81547,                0.84741,                0.56487,                 1.1456,                 2.5172,                0.52114,                 1.3445,               0.005644,               0.005644,               0.005644
                     46,                0.48797,                0.66764,                0.32099,                 0.8762,                0.93814,                0.84212,                 0.8891,                 0.6384,                0.91397,                0.80238,                0.84286,                0.56729,                 1.1351,                 2.5078,                0.51292,                 1.3347,               0.005545,               0.005545,               0.005545
                     47,                0.48958,                0.66921,                0.32197,                 0.8768,                0.93266,                0.83503,                0.89511,                0.64451,                0.91697,                0.81084,                0.85474,                0.57003,                 1.1059,                 2.5276,                 0.5162,                 1.3326,               0.005446,               0.005446,               0.005446
                     48,                0.48602,                0.66679,                0.31813,                0.87429,                0.92494,                0.84772,                0.90106,                0.64463,                 0.9244,                0.82168,                 0.8659,                0.56686,                 1.1168,                   2.44,                0.50497,                 1.3409,               0.005347,               0.005347,               0.005347
                     49,                0.48218,                0.66184,                 0.3162,                0.87375,                0.94052,                0.85182,                0.89845,                0.63646,                0.92641,                0.83077,                0.86938,                 0.5667,                 1.1446,                 2.4128,                0.51117,                  1.348,               0.005248,               0.005248,               0.005248
                     50,                 0.4776,                0.65981,                0.31389,                0.87283,                0.93391,                 0.8418,                 0.8915,                0.63113,                0.92071,                0.82387,                0.85931,                0.55985,                 1.1494,                 2.4039,                0.51349,                 1.3641,               0.005149,               0.005149,               0.005149
                     51,                 0.4777,                 0.6573,                0.31227,                0.87336,                 0.9288,                0.84654,                0.89479,                0.63502,                0.91871,                0.82756,                 0.8672,                0.56878,                 1.1584,                  2.483,                0.50452,                 1.3569,                0.00505,                0.00505,                0.00505
                     52,                0.47186,                0.65303,                0.31027,                0.87137,                0.93628,                0.84067,                 0.8934,                0.63548,                0.91986,                0.81562,                0.85587,                0.57093,                 1.1461,                 2.4991,                0.51518,                 1.3413,               0.004951,               0.004951,               0.004951
                     53,                0.47201,                0.65159,                0.30979,                0.87044,                 0.9366,                0.84361,                0.89828,                0.64421,                0.93669,                0.81906,                0.86126,                0.57722,                 1.1349,                 2.4647,                0.51291,                  1.334,               0.004852,               0.004852,               0.004852
                     54,                0.47232,                0.65066,                0.30801,                0.87158,                0.94404,                0.83922,                0.89501,                0.64511,                0.92898,                0.81305,                0.85547,                0.58131,                 1.1224,                 2.4188,                0.51228,                 1.3262,               0.004753,               0.004753,               0.004753
                     55,                0.46892,                0.64775,                0.30658,                0.87061,                0.93267,                0.85132,                0.89487,                0.63558,                0.94118,                0.81203,                 0.8555,                0.57195,                  1.149,                 2.4485,                0.51274,                 1.3449,               0.004654,               0.004654,               0.004654
                     56,                0.46874,                0.64698,                0.30587,                0.87144,                0.92866,                0.85669,                0.89599,                0.63712,                0.93536,                0.82909,                0.86693,                0.56875,                 1.1605,                 2.4412,                0.50444,                 1.3708,               0.004555,               0.004555,               0.004555
                     57,                0.46565,                 0.6409,                0.30219,                 0.8703,                0.92809,                0.85545,                0.89363,                0.63313,                0.92963,                0.83636,                0.86898,                0.56464,                 1.1676,                 2.4203,                0.49966,                 1.3575,               0.004456,               0.004456,               0.004456
                     58,                0.46539,                0.63747,                0.30396,                0.87028,                0.93204,                0.85072,                0.89398,                0.63539,                 0.9293,                0.83924,                0.87063,                0.56997,                 1.1508,                 2.4215,                0.49712,                 1.3632,               0.004357,               0.004357,               0.004357
                     59,                0.45786,                0.63424,                0.29874,                0.86709,                0.91907,                0.85894,                0.89536,                0.63791,                0.92175,                0.83068,                  0.868,                0.57443,                 1.1518,                 2.4093,                0.50686,                 1.3613,               0.004258,               0.004258,               0.004258
                     60,                0.46084,                0.63643,                0.30063,                0.86834,                0.92473,                0.85212,                 0.8947,                0.64096,                0.93096,                0.82006,                 0.8665,                0.57592,                 1.1409,                 2.4566,                0.50289,                  1.353,               0.004159,               0.004159,               0.004159
