                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67947,                 0.7009,                0.43698,                0.86408,                0.86172,                0.77207,                0.82773,                0.55071,                0.84756,                0.73169,                0.80724,                0.46763,                 1.1064,                 1.3744,                0.55613,                  1.016,               0.006634,               0.006634,               0.006634
                     36,                0.67609,                0.69715,                0.43594,                0.86416,                0.86145,                0.77143,                 0.8272,                0.55035,                0.84448,                0.73247,                0.80634,                0.46615,                 1.1087,                 1.3775,                0.55665,                 1.0162,               0.006535,               0.006535,               0.006535
                     37,                0.67308,                0.69591,                0.43166,                  0.863,                0.86201,                0.77073,                0.82775,                0.55023,                0.84729,                0.73039,                 0.8063,                0.46674,                 1.1098,                 1.3801,                0.55601,                 1.0159,               0.006436,               0.006436,               0.006436
                     38,                0.66988,                0.69291,                 0.4299,                0.86175,                0.86282,                0.77143,                0.82786,                0.55017,                0.84842,                0.72838,                0.80607,                0.46631,                 1.1112,                 1.3829,                0.55493,                 1.0164,               0.006337,               0.006337,               0.006337
                     39,                0.66592,                0.68816,                 0.4261,                 0.8613,                0.86233,                0.77278,                0.82772,                0.54955,                0.84729,                0.72924,                0.80643,                0.46676,                 1.1122,                  1.387,                0.55498,                 1.0165,               0.006238,               0.006238,               0.006238
                     40,                0.66723,                0.68884,                0.42806,                 0.8606,                0.86015,                0.77091,                0.82726,                0.54899,                0.84613,                0.72698,                0.80588,                0.46725,                 1.1141,                 1.3911,                0.55453,                 1.0171,               0.006139,               0.006139,               0.006139
                     41,                0.66706,                0.68929,                0.42772,                0.86121,                0.85746,                0.77532,                0.82793,                0.54873,                 0.8446,                0.72571,                 0.8053,                0.46639,                 1.1138,                 1.3944,                 0.5543,                 1.0168,                0.00604,                0.00604,                0.00604
                     42,                  0.661,                0.68441,                0.42144,                0.85994,                0.85953,                0.77169,                0.82691,                0.54828,                0.84463,                0.72578,                0.80545,                0.46571,                 1.1146,                 1.4007,                0.55377,                 1.0171,               0.005941,               0.005941,               0.005941
                     43,                0.66239,                0.68334,                0.42529,                0.86082,                0.85922,                0.77202,                 0.8264,                0.54793,                0.84753,                0.72479,                0.80619,                0.46594,                 1.1153,                 1.4016,                0.55325,                 1.0175,               0.005842,               0.005842,               0.005842
                     44,                 0.6588,                0.68278,                0.42276,                0.85974,                0.86042,                0.77143,                0.82588,                0.54895,                0.85024,                0.72402,                0.80601,                0.46562,                 1.1157,                 1.4011,                0.55162,                 1.0185,               0.005743,               0.005743,               0.005743
                     45,                0.65639,                0.68026,                0.42014,                0.85703,                0.86202,                0.77079,                0.82642,                0.54975,                0.84923,                0.72126,                0.80397,                0.46537,                 1.1167,                 1.4031,                0.55075,                 1.0185,               0.005644,               0.005644,               0.005644
                     46,                0.65329,                0.67897,                0.41915,                0.85721,                0.85998,                 0.7689,                0.82559,                0.54931,                  0.852,                0.71766,                0.80242,                0.46371,                 1.1182,                 1.4084,                0.55059,                 1.0193,               0.005545,               0.005545,               0.005545
                     47,                0.65318,                 0.6761,                0.41567,                0.85744,                0.86003,                0.76779,                0.82551,                0.54827,                0.85415,                0.71896,                0.80438,                0.46479,                 1.1187,                  1.409,                0.54942,                 1.0194,               0.005446,               0.005446,               0.005446
